State,PeopleAffected,Domain,ResourcesRequired,UrgencyReason,Timeline,Urgency,EstimatedCost
Karnataka,534,Healthcare,Funds,Health Emergency,Within 1 week,High,10110.43
Telangana,209,Disaster Relief,Beds/Shelter,Health Emergency,Immediate,Medium,15111.51
Telangana,170,Food,Beds/Shelter,Seasonal Need,Within 1 week,Medium,10502.07
Maharashtra,845,Employment,Food Kits,Health Emergency,Within 1 week,High,7047.83
Gujarat,190,Shelter,Funds,Seasonal Need,Within 1 week,Medium,3026.13
Delhi,239,Education,Funds,Natural Disaster (Flood/Earthquake),Long term,High,3022.0
Andhra Pradesh,121,Healthcare,Food Kits,Community Emergency,Within 1 week,Medium,2336.47
Gujarat,198,Disaster Relief,Food Kits,Community Emergency,Long term,Medium,2726.97
Karnataka,868,Food,Food Kits,Health Emergency,Immediate,High,13527.77
Bihar,879,Shelter,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,74375.8
Andhra Pradesh,39,Education,Funds,Seasonal Need,Within 1 week,Low,542.31
Bihar,130,Food,Food Kits,Health Emergency,Immediate,Medium,1468.29
Delhi,904,Healthcare,Medicines,Disease Outbreak,Within 1 week,High,28446.48
Maharashtra,130,Healthcare,Food Kits,Community Emergency,Within 1 week,Medium,2359.25
Maharashtra,184,Shelter,Medicines,Seasonal Need,Long term,Medium,5143.14
Delhi,198,Healthcare,Volunteers,Seasonal Need,Within 1 week,Medium,2499.16
Tamil Nadu,375,Food,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,4455.49
Karnataka,164,Disaster Relief,Beds/Shelter,Seasonal Need,Long term,Medium,11402.04
Delhi,52,Education,Beds/Shelter,Community Emergency,Long term,Low,2731.33
Andhra Pradesh,522,Healthcare,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,17171.54
Bihar,144,Employment,Medicines,Community Emergency,Long term,Medium,2906.97
Bihar,2,Healthcare,Funds,Seasonal Need,Immediate,Low,41.76
Andhra Pradesh,209,Employment,Funds,Health Emergency,Immediate,Medium,2288.67
Delhi,48,Healthcare,Food Kits,Community Emergency,Long term,Low,901.15
Karnataka,674,Food,Funds,Natural Disaster (Flood/Earthquake),Long term,High,9688.06
Karnataka,99,Shelter,Funds,Community Emergency,Within 1 week,Low,1518.62
Andhra Pradesh,871,Disaster Relief,Medicines,Disease Outbreak,Within 1 week,High,24113.99
Delhi,68,Disaster Relief,Food Kits,Seasonal Need,Immediate,Low,908.76
Andhra Pradesh,195,Employment,Volunteers,Seasonal Need,Long term,Medium,1214.94
Andhra Pradesh,119,Healthcare,Funds,Community Emergency,Long term,Medium,2459.88
Tamil Nadu,8,Employment,Volunteers,Community Emergency,Within 1 week,Low,51.43
Delhi,658,Food,Medicines,Health Emergency,Within 1 week,High,15675.44
Gujarat,48,Healthcare,Volunteers,Seasonal Need,Immediate,Low,558.77
Delhi,221,Shelter,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,17768.21
Gujarat,148,Employment,Volunteers,Health Emergency,Within 1 week,Medium,958.41
Gujarat,351,Healthcare,Volunteers,Health Emergency,Immediate,Medium,3656.15
Maharashtra,302,Food,Funds,Natural Disaster (Flood/Earthquake),Long term,High,4440.77
Maharashtra,7683,Healthcare,Beds/Shelter,Disease Outbreak,Immediate,High,760826.69
Tamil Nadu,903,Education,Beds/Shelter,Disease Outbreak,Long term,High,45823.66
Telangana,834,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,39441.88
Karnataka,176,Healthcare,Food Kits,Community Emergency,Within 1 week,Medium,3155.93
Telangana,867,Disaster Relief,Medicines,Disease Outbreak,Long term,High,23261.5
Andhra Pradesh,874,Disaster Relief,Funds,Disease Outbreak,Long term,High,13799.21
Gujarat,449,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,7056.95
Tamil Nadu,66,Shelter,Beds/Shelter,Seasonal Need,Within 1 week,Low,4189.92
Karnataka,1770,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,72775.48
Tamil Nadu,354,Disaster Relief,Medicines,Disease Outbreak,Within 1 week,High,10293.5
Gujarat,8,Education,Beds/Shelter,Seasonal Need,Immediate,Low,438.11
Maharashtra,103,Shelter,Funds,Seasonal Need,Immediate,Medium,1659.01
Gujarat,47,Employment,Volunteers,Seasonal Need,Within 1 week,Low,262.93
Delhi,719,Shelter,Volunteers,Disease Outbreak,Within 1 week,High,6298.11
Delhi,183,Healthcare,Beds/Shelter,Seasonal Need,Within 1 week,Medium,17665.39
Bihar,840,Disaster Relief,Medicines,Health Emergency,Within 1 week,High,24826.46
Telangana,107,Healthcare,Funds,Health Emergency,Immediate,Medium,2124.36
Bihar,1000,Healthcare,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,45199.86
Andhra Pradesh,125,Disaster Relief,Volunteers,Health Emergency,Long term,Medium,1229.05
Bihar,269,Food,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,2852.22
Maharashtra,523,Healthcare,Funds,Health Emergency,Within 1 week,High,9779.0
Karnataka,783,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,12822.1
Maharashtra,229,Education,Medicines,Health Emergency,Within 1 week,Medium,5275.88
Telangana,96,Education,Medicines,Community Emergency,Within 1 week,Low,1854.02
Andhra Pradesh,2,Disaster Relief,Volunteers,Seasonal Need,Long term,Low,19.19
Andhra Pradesh,163,Shelter,Beds/Shelter,Seasonal Need,Within 1 week,Medium,10406.44
Gujarat,476,Healthcare,Food Kits,Health Emergency,Long term,Medium,8054.88
Maharashtra,217,Shelter,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,18594.19
Bihar,61,Food,Funds,Health Emergency,Immediate,Low,932.22
Telangana,803,Employment,Medicines,Health Emergency,Long term,High,15992.34
Delhi,651,Healthcare,Medicines,Health Emergency,Within 1 week,High,23423.68
Tamil Nadu,245,Education,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,11506.63
Bihar,462,Disaster Relief,Medicines,Health Emergency,Long term,Medium,12585.06
Karnataka,810,Shelter,Food Kits,Health Emergency,Immediate,High,13665.72
Gujarat,738,Education,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,4618.4
Delhi,145,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,3686.32
Karnataka,183,Employment,Volunteers,Seasonal Need,Immediate,Medium,1117.15
Maharashtra,322,Healthcare,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,24672.59
Andhra Pradesh,446,Employment,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,4916.72
Delhi,147,Food,Food Kits,Seasonal Need,Immediate,Medium,1498.98
Gujarat,111,Healthcare,Funds,Seasonal Need,Long term,Medium,2255.65
Karnataka,180,Disaster Relief,Volunteers,Community Emergency,Immediate,Medium,1692.17
Delhi,193,Disaster Relief,Funds,Health Emergency,Long term,Medium,3375.02
Andhra Pradesh,984,Disaster Relief,Volunteers,Disease Outbreak,Within 1 week,High,9357.39
Tamil Nadu,75,Education,Volunteers,Community Emergency,Long term,Low,537.75
Bihar,541,Shelter,Food Kits,Disease Outbreak,Within 1 week,High,6182.12
Andhra Pradesh,995,Disaster Relief,Volunteers,Disease Outbreak,Immediate,High,12215.95
Delhi,214,Education,Medicines,Health Emergency,Immediate,Medium,4524.89
Tamil Nadu,549,Food,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,4308.98
Andhra Pradesh,159,Healthcare,Volunteers,Seasonal Need,Within 1 week,Medium,2222.26
Delhi,90,Disaster Relief,Funds,Community Emergency,Within 1 week,Low,1625.11
Delhi,803,Employment,Beds/Shelter,Health Emergency,Immediate,High,44772.1
Gujarat,127,Employment,Medicines,Seasonal Need,Immediate,Medium,2426.16
Andhra Pradesh,554,Healthcare,Beds/Shelter,Health Emergency,Within 1 week,High,45139.21
Telangana,983,Shelter,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,15949.86
Maharashtra,160,Employment,Medicines,Seasonal Need,Immediate,Medium,2978.99
Maharashtra,813,Disaster Relief,Volunteers,Health Emergency,Long term,High,6593.69
Maharashtra,146,Shelter,Beds/Shelter,Community Emergency,Immediate,Medium,9269.61
Telangana,615,Healthcare,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,12407.87
Tamil Nadu,16,Food,Food Kits,Community Emergency,Within 1 week,Low,193.97
Karnataka,8,Employment,Funds,Seasonal Need,Immediate,Low,85.9
Bihar,365,Shelter,Funds,Disease Outbreak,Within 1 week,High,5011.54
Bihar,789,Shelter,Funds,Health Emergency,Immediate,High,14941.34
Karnataka,773,Food,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,12047.41
Maharashtra,596,Shelter,Volunteers,Health Emergency,Within 1 week,High,5001.28
Maharashtra,47,Employment,Medicines,Community Emergency,Immediate,Low,877.18
Andhra Pradesh,926,Education,Medicines,Disease Outbreak,Long term,High,17540.77
Maharashtra,226,Healthcare,Food Kits,Disease Outbreak,Long term,High,3448.06
Delhi,876,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,25043.74
Delhi,154,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,1866.58
Delhi,197,Healthcare,Volunteers,Seasonal Need,Immediate,Medium,1988.06
Telangana,614,Disaster Relief,Beds/Shelter,Health Emergency,Long term,High,41190.98
Maharashtra,85,Education,Medicines,Community Emergency,Immediate,Low,1883.87
Tamil Nadu,4,Healthcare,Food Kits,Community Emergency,Immediate,Low,67.56
Tamil Nadu,121,Healthcare,Food Kits,Disease Outbreak,Long term,High,2050.99
Telangana,2361,Education,Medicines,Disease Outbreak,Within 1 week,High,50753.21
Delhi,54,Food,Medicines,Seasonal Need,Immediate,Low,1304.17
Gujarat,673,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,56247.06
Telangana,484,Disaster Relief,Volunteers,Disease Outbreak,Long term,High,3911.09
Telangana,355,Employment,Funds,Disease Outbreak,Within 1 week,High,3923.62
Bihar,52,Education,Beds/Shelter,Community Emergency,Long term,Low,2645.81
Andhra Pradesh,106,Employment,Food Kits,Seasonal Need,Within 1 week,Medium,1029.0
Delhi,233,Healthcare,Volunteers,Health Emergency,Within 1 week,Medium,2730.07
Andhra Pradesh,34,Education,Food Kits,Seasonal Need,Immediate,Low,350.78
Tamil Nadu,796,Disaster Relief,Medicines,Health Emergency,Within 1 week,High,21068.22
Delhi,232,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,12193.0
Karnataka,195,Food,Funds,Seasonal Need,Immediate,Medium,2503.04
Karnataka,110,Food,Beds/Shelter,Health Emergency,Within 1 week,Medium,7605.78
Bihar,515,Food,Beds/Shelter,Health Emergency,Immediate,High,35831.69
Gujarat,562,Education,Volunteers,Health Emergency,Within 1 week,High,3955.15
Maharashtra,595,Healthcare,Funds,Disease Outbreak,Within 1 week,High,11109.33
Andhra Pradesh,122,Employment,Medicines,Health Emergency,Long term,Medium,2059.34
Bihar,48,Healthcare,Food Kits,Community Emergency,Long term,Low,889.81
Maharashtra,8,Healthcare,Medicines,Seasonal Need,Immediate,Low,301.55
Andhra Pradesh,47,Food,Volunteers,Seasonal Need,Long term,Low,392.37
Telangana,78,Employment,Medicines,Seasonal Need,Long term,Low,1465.16
Karnataka,748,Education,Volunteers,Disease Outbreak,Within 1 week,High,4585.69
Karnataka,18,Food,Beds/Shelter,Community Emergency,Long term,Low,1132.51
Bihar,192,Employment,Beds/Shelter,Community Emergency,Long term,Medium,8010.79
Andhra Pradesh,322,Disaster Relief,Funds,Disease Outbreak,Long term,High,5219.58
Telangana,145,Employment,Medicines,Seasonal Need,Immediate,Medium,2947.38
Maharashtra,67,Shelter,Food Kits,Seasonal Need,Within 1 week,Low,765.85
Andhra Pradesh,34,Disaster Relief,Medicines,Seasonal Need,Long term,Low,963.79
Telangana,169,Healthcare,Funds,Community Emergency,Within 1 week,Medium,4396.33
Maharashtra,492,Employment,Funds,Disease Outbreak,Within 1 week,High,5231.02
Karnataka,338,Food,Volunteers,Health Emergency,Immediate,Medium,2729.96
Maharashtra,75,Employment,Volunteers,Seasonal Need,Within 1 week,Low,497.97
Tamil Nadu,31,Employment,Food Kits,Community Emergency,Long term,Low,283.37
Karnataka,53,Disaster Relief,Funds,Disease Outbreak,Long term,High,872.09
Telangana,185,Employment,Food Kits,Community Emergency,Within 1 week,Medium,2083.57
Bihar,44,Food,Medicines,Community Emergency,Immediate,Low,1149.72
Maharashtra,20,Employment,Medicines,Seasonal Need,Long term,Low,379.92
Andhra Pradesh,369,Shelter,Food Kits,Disease Outbreak,Within 1 week,High,4086.2
Tamil Nadu,3,Disaster Relief,Beds/Shelter,Seasonal Need,Immediate,Low,209.85
Andhra Pradesh,3975,Employment,Medicines,Disease Outbreak,Immediate,High,96065.13
Bihar,19351,Shelter,Medicines,Health Emergency,Within 1 week,High,475409.08
Andhra Pradesh,960,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,16921.58
Karnataka,367,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,23133.09
Gujarat,186,Shelter,Medicines,Health Emergency,Long term,Medium,4920.79
Bihar,40,Shelter,Beds/Shelter,Community Emergency,Immediate,Low,2306.99
Karnataka,922,Employment,Funds,Health Emergency,Long term,High,10260.69
Maharashtra,165,Employment,Funds,Community Emergency,Immediate,Medium,1741.52
Maharashtra,7477,Food,Beds/Shelter,Disease Outbreak,Within 1 week,High,419882.89
Andhra Pradesh,345,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,9275.35
Karnataka,914,Employment,Beds/Shelter,Health Emergency,Within 1 week,High,39993.78
Telangana,552,Healthcare,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,12336.53
Bihar,179,Employment,Volunteers,Community Emergency,Long term,Medium,997.94
Tamil Nadu,192,Employment,Beds/Shelter,Community Emergency,Within 1 week,Medium,10071.23
Gujarat,155,Disaster Relief,Food Kits,Seasonal Need,Within 1 week,Medium,2234.88
Gujarat,460,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,8440.57
Telangana,566,Healthcare,Funds,Disease Outbreak,Within 1 week,High,11292.09
Delhi,864,Education,Food Kits,Health Emergency,Long term,High,8588.49
Gujarat,206,Disaster Relief,Funds,Health Emergency,Immediate,Medium,3678.59
Telangana,460,Shelter,Funds,Health Emergency,Within 1 week,Medium,8784.41
Telangana,43,Food,Beds/Shelter,Seasonal Need,Within 1 week,Low,2368.19
Delhi,74,Disaster Relief,Funds,Community Emergency,Within 1 week,Low,1153.58
Karnataka,141,Employment,Medicines,Community Emergency,Within 1 week,Medium,3314.81
Karnataka,672,Employment,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,17554.43
Karnataka,120,Shelter,Beds/Shelter,Seasonal Need,Immediate,Medium,8047.47
Maharashtra,122,Education,Food Kits,Seasonal Need,Long term,Medium,1321.56
Andhra Pradesh,345,Employment,Beds/Shelter,Health Emergency,Within 1 week,Medium,17571.18
Andhra Pradesh,662,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,28903.74
Maharashtra,880,Education,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,14245.54
Tamil Nadu,186,Food,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,1660.84
Bihar,986,Shelter,Food Kits,Health Emergency,Within 1 week,High,12790.74
Delhi,855,Shelter,Food Kits,Disease Outbreak,Long term,High,10530.17
Bihar,578,Education,Beds/Shelter,Disease Outbreak,Long term,High,31442.12
Karnataka,179,Food,Beds/Shelter,Seasonal Need,Long term,Medium,10399.02
Tamil Nadu,226,Healthcare,Funds,Health Emergency,Immediate,Medium,4588.3
Maharashtra,49,Food,Medicines,Seasonal Need,Within 1 week,Low,1086.64
Telangana,197,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,4878.25
Tamil Nadu,376,Employment,Funds,Health Emergency,Immediate,Medium,4019.04
Andhra Pradesh,62,Disaster Relief,Beds/Shelter,Community Emergency,Long term,Low,4101.24
Karnataka,526,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,4002.41
Tamil Nadu,420,Food,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,9980.92
Telangana,114,Education,Medicines,Seasonal Need,Immediate,Medium,2207.15
Tamil Nadu,8,Employment,Beds/Shelter,Seasonal Need,Immediate,Low,357.82
Maharashtra,927,Food,Medicines,Disease Outbreak,Long term,High,19859.56
Bihar,135,Shelter,Food Kits,Seasonal Need,Within 1 week,Medium,1976.5
Maharashtra,187,Healthcare,Food Kits,Community Emergency,Long term,Medium,3184.75
Telangana,100,Disaster Relief,Food Kits,Health Emergency,Long term,Low,1402.62
Andhra Pradesh,32,Shelter,Medicines,Community Emergency,Within 1 week,Low,792.36
Karnataka,182,Employment,Beds/Shelter,Seasonal Need,Immediate,Medium,7365.02
Maharashtra,722,Employment,Medicines,Disease Outbreak,Long term,High,11984.18
Telangana,597,Disaster Relief,Beds/Shelter,Health Emergency,Long term,High,39062.27
Maharashtra,864,Shelter,Medicines,Disease Outbreak,Immediate,High,30293.63
Maharashtra,435,Shelter,Beds/Shelter,Disease Outbreak,Long term,High,26643.65
Delhi,1348,Shelter,Funds,Health Emergency,Immediate,High,26333.09
Karnataka,989,Employment,Food Kits,Disease Outbreak,Immediate,High,11332.86
Delhi,158,Shelter,Medicines,Seasonal Need,Immediate,Medium,4071.37
Karnataka,258,Food,Food Kits,Disease Outbreak,Long term,High,3093.76
Tamil Nadu,408,Healthcare,Medicines,Health Emergency,Immediate,Medium,13847.95
Andhra Pradesh,186,Employment,Beds/Shelter,Seasonal Need,Within 1 week,Medium,10178.84
Maharashtra,887,Disaster Relief,Medicines,Health Emergency,Long term,High,25867.95
Bihar,166,Disaster Relief,Medicines,Seasonal Need,Immediate,Medium,4735.48
Bihar,427,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,4434.83
Gujarat,874,Disaster Relief,Medicines,Health Emergency,Long term,High,25222.09
Telangana,870,Employment,Beds/Shelter,Disease Outbreak,Immediate,High,44603.57
Telangana,525,Education,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,3160.92
Tamil Nadu,107,Education,Medicines,Seasonal Need,Within 1 week,Medium,2641.92
Andhra Pradesh,26,Food,Volunteers,Seasonal Need,Long term,Low,189.19
Maharashtra,187,Disaster Relief,Beds/Shelter,Community Emergency,Immediate,Medium,11953.71
Telangana,811,Food,Medicines,Health Emergency,Immediate,High,21862.92
Gujarat,81,Shelter,Beds/Shelter,Community Emergency,Long term,Low,5438.98
Tamil Nadu,154,Food,Volunteers,Community Emergency,Within 1 week,Medium,1338.91
Bihar,690,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,10690.62
Andhra Pradesh,88,Disaster Relief,Beds/Shelter,Disease Outbreak,Immediate,High,7867.79
Delhi,527,Food,Medicines,Health Emergency,Long term,High,12590.12
Tamil Nadu,44,Education,Funds,Community Emergency,Immediate,Low,588.79
Delhi,379,Food,Food Kits,Health Emergency,Immediate,Medium,4150.72
Andhra Pradesh,149,Healthcare,Funds,Community Emergency,Long term,Medium,3086.68
Andhra Pradesh,317,Disaster Relief,Food Kits,Disease Outbreak,Immediate,High,5243.61
Telangana,587,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,19047.32
Telangana,135,Education,Food Kits,Disease Outbreak,Immediate,High,1876.79
Bihar,737,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,4735.07
Karnataka,272,Education,Beds/Shelter,Health Emergency,Within 1 week,Medium,16934.01
Tamil Nadu,539,Shelter,Beds/Shelter,Disease Outbreak,Long term,High,32053.3
Telangana,98,Healthcare,Beds/Shelter,Seasonal Need,Immediate,Low,8187.09
Delhi,413,Disaster Relief,Beds/Shelter,Disease Outbreak,Long term,High,28078.6
Telangana,970,Healthcare,Funds,Health Emergency,Within 1 week,High,19170.87
Maharashtra,157,Education,Food Kits,Health Emergency,Within 1 week,Medium,1651.06
Tamil Nadu,463,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,21458.14
Delhi,940,Disaster Relief,Volunteers,Disease Outbreak,Long term,High,8311.54
Telangana,526,Employment,Funds,Health Emergency,Within 1 week,High,5839.55
Tamil Nadu,426,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Long term,High,7729.37
Bihar,65,Employment,Food Kits,Seasonal Need,Immediate,Low,593.67
Tamil Nadu,425,Healthcare,Beds/Shelter,Health Emergency,Within 1 week,Medium,41874.78
Tamil Nadu,342,Education,Funds,Disease Outbreak,Within 1 week,High,4070.69
Andhra Pradesh,866,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,9273.21
Andhra Pradesh,37,Shelter,Funds,Community Emergency,Within 1 week,Low,531.58
Maharashtra,39,Disaster Relief,Beds/Shelter,Seasonal Need,Within 1 week,Low,2643.02
Karnataka,202,Employment,Beds/Shelter,Health Emergency,Within 1 week,Medium,9753.34
Telangana,63,Shelter,Funds,Community Emergency,Immediate,Low,897.17
Tamil Nadu,379,Disaster Relief,Beds/Shelter,Health Emergency,Within 1 week,Medium,30650.94
Delhi,802,Education,Food Kits,Disease Outbreak,Immediate,High,9539.77
Bihar,96,Food,Volunteers,Health Emergency,Within 1 week,Low,779.01
Telangana,61,Healthcare,Food Kits,Community Emergency,Within 1 week,Low,972.99
Delhi,111,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,5975.31
Andhra Pradesh,138,Food,Beds/Shelter,Health Emergency,Immediate,Medium,8331.59
Andhra Pradesh,666,Shelter,Volunteers,Disease Outbreak,Long term,High,4837.34
Karnataka,137,Food,Beds/Shelter,Seasonal Need,Immediate,Medium,7873.0
Delhi,9,Healthcare,Medicines,Seasonal Need,Within 1 week,Low,347.66
Telangana,124,Healthcare,Volunteers,Community Emergency,Long term,Medium,1513.74
Telangana,963,Employment,Beds/Shelter,Health Emergency,Within 1 week,High,42785.14
Tamil Nadu,642,Disaster Relief,Funds,Health Emergency,Immediate,High,14537.22
Bihar,67,Disaster Relief,Volunteers,Community Emergency,Within 1 week,Low,608.41
Karnataka,338,Education,Beds/Shelter,Health Emergency,Immediate,Medium,17132.03
Tamil Nadu,620,Food,Funds,Natural Disaster (Flood/Earthquake),Long term,High,8070.24
Karnataka,89,Healthcare,Volunteers,Community Emergency,Immediate,Low,990.94
Maharashtra,188,Education,Funds,Community Emergency,Within 1 week,Medium,2801.01
Telangana,810,Disaster Relief,Beds/Shelter,Health Emergency,Within 1 week,High,50914.23
Delhi,158,Education,Medicines,Community Emergency,Immediate,Medium,3279.38
Telangana,638,Education,Funds,Disease Outbreak,Within 1 week,High,8589.97
Maharashtra,716,Shelter,Medicines,Health Emergency,Within 1 week,High,16587.8
Andhra Pradesh,724,Healthcare,Food Kits,Disease Outbreak,Immediate,High,15180.02
Karnataka,273,Employment,Beds/Shelter,Disease Outbreak,Immediate,High,16720.4
Bihar,327,Shelter,Funds,Health Emergency,Immediate,Medium,4592.0
Gujarat,241,Shelter,Funds,Disease Outbreak,Long term,High,3731.69
Andhra Pradesh,754,Shelter,Food Kits,Disease Outbreak,Within 1 week,High,8822.32
Tamil Nadu,319,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,16022.28
Karnataka,180,Disaster Relief,Funds,Seasonal Need,Long term,Medium,2916.89
Maharashtra,134,Shelter,Volunteers,Community Emergency,Immediate,Medium,1010.37
Telangana,587,Food,Beds/Shelter,Disease Outbreak,Long term,High,34843.31
Bihar,148,Employment,Medicines,Health Emergency,Immediate,Medium,3034.63
Maharashtra,933,Healthcare,Volunteers,Health Emergency,Long term,High,10047.38
Karnataka,195,Education,Funds,Community Emergency,Long term,Medium,2552.09
Andhra Pradesh,21,Employment,Funds,Seasonal Need,Immediate,Low,238.05
Telangana,147,Disaster Relief,Beds/Shelter,Seasonal Need,Within 1 week,Medium,11978.36
Andhra Pradesh,58,Disaster Relief,Beds/Shelter,Community Emergency,Immediate,Low,4189.47
Gujarat,881,Employment,Medicines,Health Emergency,Long term,High,15446.14
Andhra Pradesh,541,Healthcare,Funds,Disease Outbreak,Long term,High,10153.75
Karnataka,654,Food,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,12832.25
Maharashtra,131,Food,Medicines,Seasonal Need,Long term,Medium,3191.64
Maharashtra,131,Shelter,Volunteers,Seasonal Need,Within 1 week,Medium,1296.59
Gujarat,285,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,2611.04
Gujarat,1000,Shelter,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,10967.98
Tamil Nadu,113,Disaster Relief,Volunteers,Disease Outbreak,Long term,High,926.67
Maharashtra,369,Healthcare,Volunteers,Disease Outbreak,Within 1 week,High,4078.56
Bihar,850,Employment,Beds/Shelter,Health Emergency,Immediate,High,51338.08
Gujarat,179,Employment,Food Kits,Community Emergency,Within 1 week,Medium,2019.01
Karnataka,46,Healthcare,Food Kits,Seasonal Need,Immediate,Low,799.37
Karnataka,168,Employment,Funds,Seasonal Need,Immediate,Medium,1728.27
Karnataka,274,Education,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,3325.41
Andhra Pradesh,165,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,2615.39
Bihar,4733,Employment,Medicines,Disease Outbreak,Within 1 week,High,86846.88
